,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
134,LF,d2s2,Kinder,1,7,1,8,0,Male,1,0,3,Farmer,N/A,N/A,3,18870
135,LF,d2s2,Kinder,1,7,2,2,0,Male,2,0,0,Pirate,8,14628,N/A,N/A
136,LF,d2s2,Kinder,1,7,2,3,0,Female,0,1,4,Farmer,N/A,N/A,4,11386
137,LF,d2s2,Kinder,1,7,3,5,0,Female,2,0,3,Pirate,3,8782,N/A,N/A
138,LF,d2s2,Kinder,1,7,3,6,0,Female,1,0,0,Farmer,N/A,N/A,3,51888
139,LF,d2s2,Kinder,1,7,4,4,0,Male,1,0,0,Pirate,3,4096,N/A,N/A
140,LF,d2s2,Kinder,1,7,4,9,0,Male,0,0,8,Farmer,N/A,N/A,8,7870
141,LF,d2s2,Kinder,1,8,0,1,0,Male,1,1,8,Farmer,N/A,N/A,8,7282
142,LF,d2s2,Kinder,1,8,0,7,0,Female,0,1,0,Pirate,4,13992,N/A,N/A
143,LF,d2s2,Kinder,1,8,1,0,0,Female,0,1,0,Farmer,N/A,N/A,8,18025
144,LF,d2s2,Kinder,1,8,1,8,0,Male,1,0,8,Pirate,8,9354,N/A,N/A
145,LF,d2s2,Kinder,1,8,2,2,0,Male,2,0,0,Farmer,N/A,N/A,8,4779
146,LF,d2s2,Kinder,1,8,2,3,0,Female,0,1,8,Pirate,8,15859,N/A,N/A
147,LF,d2s2,Kinder,1,8,3,5,0,Female,2,0,3,Farmer,N/A,N/A,3,32202
148,LF,d2s2,Kinder,1,8,3,6,0,Female,1,0,0,Pirate,4,15416,N/A,N/A
149,LF,d2s2,Kinder,1,8,4,4,0,Male,1,0,8,Farmer,N/A,N/A,8,6889
150,LF,d2s2,Kinder,1,8,4,9,0,Male,0,0,0,Pirate,3,18512,N/A,N/A
151,LF,d2s2,Kinder,1,9,0,1,0,Male,1,1,0,Pirate,8,6500,N/A,N/A
152,LF,d2s2,Kinder,1,9,0,7,0,Female,0,1,4,Farmer,N/A,N/A,4,7511
153,LF,d2s2,Kinder,1,9,1,0,0,Female,0,1,0,Pirate,8,9419,N/A,N/A
154,LF,d2s2,Kinder,1,9,1,8,0,Male,1,0,3,Farmer,N/A,N/A,3,5205
155,LF,d2s2,Kinder,1,9,2,2,0,Male,2,0,0,Pirate,8,2883,N/A,N/A
156,LF,d2s2,Kinder,1,9,2,3,0,Female,0,1,3,Farmer,N/A,N/A,3,12804
157,LF,d2s2,Kinder,1,9,3,5,0,Female,2,0,0,Pirate,4,18375,N/A,N/A
158,LF,d2s2,Kinder,1,9,3,6,0,Female,1,0,8,Farmer,N/A,N/A,8,4239
159,LF,d2s2,Kinder,1,9,4,4,0,Male,1,0,0,Pirate,4,9153,N/A,N/A
160,LF,d2s2,Kinder,1,9,4,9,0,Male,0,0,3,Farmer,N/A,N/A,3,5125
161,LF,d2s2,Kinder,1,10,0,1,0,Male,1,1,0,Farmer,N/A,N/A,8,3047
162,LF,d2s2,Kinder,1,10,0,7,0,Female,0,1,8,Pirate,8,8328,N/A,N/A
163,LF,d2s2,Kinder,1,10,1,0,0,Female,0,1,8,Farmer,N/A,N/A,8,23459
164,LF,d2s2,Kinder,1,10,1,8,0,Male,1,0,0,Pirate,4,7725,N/A,N/A
165,LF,d2s2,Kinder,1,10,2,2,0,Male,2,0,8,Farmer,N/A,N/A,8,16212
