Location,Group,clientId,Choice set,Gender,Grade,Older siblings,Younger siblings,payoff,choiceSelf,choiceOther,choiceTime,click.0.index,click.1.index,click.2.index,click.3.index,click.4.index,click.5.index
BUR,810-G3,4,4,F,8,0,0,8,4,0,7453,0,1,2,3,4,5
BUR,810-G3,4,1,F,8,0,0,14,12,2,7469,0,1,2,3,4,5
BUR,810-G3,7,2,M,10,1,1,16,12,4,13657,0,3,1,4,2,5
BUR,810-G3,7,3,M,10,1,1,18,12,3,9500,0,3,1,4,2,5
BUR,810-G3,7,4,M,10,1,1,12,4,0,11064,0,3,1,4,5,2
BUR,810-G3,7,1,M,10,1,1,20,12,2,13127,0,3,4,1,2,5
BUR,810-G3,8,2,M,10,1,1,8,4,12,23719,0,3,1,4,2,5
BUR,810-G3,8,3,M,10,1,1,12,12,3,19735,0,3,1,4,2,5
BUR,810-G3,8,4,M,10,1,1,4,4,8,19564,4,2,3,1,5,
BUR,810-G3,8,1,M,10,1,1,14,12,2,11719,4,1,5,0,,
BUR,810-G3,2,2,M,8,0,2,8,4,0,10956,0,3,1,4,2,5
BUR,810-G3,2,3,M,8,0,2,15,12,0,10305,0,3,1,4,2,5
BUR,810-G3,2,4,M,8,0,2,12,4,0,11238,0,1,2,3,4,5
BUR,810-G3,2,1,M,8,0,2,14,12,2,17434,0,2,1,3,4,5
BUR,810-G3,5,2,F,8,0,1,12,12,4,6438,0,3,1,4,2,5
BUR,810-G3,5,3,F,8,0,1,15,12,0,12422,0,3,1,4,2,5
BUR,810-G3,5,4,F,8,0,1,8,4,0,6565,0,3,1,4,5,2
BUR,810-G3,5,1,F,8,0,1,20,12,2,6333,0,3,1,4,2,5
BUR,810-G3,9,2,M,8,0,1,8,4,12,3285,3,4,5,,,
BUR,810-G3,9,3,M,8,0,1,6,6,6,5164,3,4,5,,,
BUR,810-G3,9,4,M,8,0,1,4,4,8,3529,3,4,5,,,
BUR,810-G3,9,1,M,8,0,1,10,8,8,3183,3,4,5,,,
BUR,810-G3,1,2,M,10,0,2,16,12,4,6047,0,3,1,4,2,5
BUR,810-G3,1,3,M,10,0,2,12,12,3,6578,0,3,1,4,2,5
BUR,810-G3,1,4,M,10,0,2,4,4,4,7125,0,3,1,4,2,5
BUR,810-G3,1,1,M,10,0,2,14,12,2,5657,0,3,1,4,2,5
BUR,810-G3,3,2,M,8,2,0,16,12,4,7073,0,1,2,5,4,3
BUR,810-G3,3,3,M,8,2,0,15,12,0,6550,0,1,2,5,4,3
BUR,810-G3,3,4,M,8,2,0,4,4,0,8811,3,4,5,2,1,0
BUR,810-G3,3,1,M,8,2,0,14,12,2,6331,0,1,2,5,4,3
BUR,810-G3,0,2,M,8,0,2,24,12,4,5661,0,3,1,4,2,5
BUR,810-G3,0,3,M,8,0,2,18,12,0,5046,0,3,1,4,2,5
BUR,810-G3,0,4,M,8,0,2,4,4,0,5375,0,3,4,1,2,5
BUR,810-G3,0,1,M,8,0,2,14,12,2,4844,0,3,1,4,2,5
BUR,810-G3,6,2,F,10,0,1,16,12,4,11516,0,3,1,4,2,5
