Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
FROG-S2,6,0,1,9,Female,English,1,1,aug.,2011,1,0,Player 1,2,16842,0,0
FROG-S2,6,0,2,2,Male,Art / Music,1,0,apr.,2011,2,1,Player 2,1,17907,1,1
FROG-S2,6,0,2,4,Female,Art / Music,1,1,jul.,2011,1,0,Player 1,0,10563,0,0
FROG-S2,6,0,3,5,Female,English,1,1,feb.,2011,1,0,Player 1,0,18813,0,0
FROG-S2,6,0,3,10,Male,Math / Science,1,1,nov.,2011,2,1,Player 2,1,34595,1,1
FROG-S2,6,0,4,7,Male,French,1,0,feb.,2011,2,0,Player 1,1,25171,1,1
FROG-S2,6,0,4,8,Female,Art / Music,1,0,jan.,2011,2,1,Player 2,1,7250,1,1
FROG-S2,6,0,5,3,Male,Math / Science,1,1,jun.,2011,2,1,Player 2,1,7344,1,1
FROG-S2,6,0,5,6,Male,English,1,1,apr.,2011,1,0,Player 1,2,25548,0,0
FROG-S2,7,0,0,2,Male,Art / Music,1,0,apr.,2011,1,0,Player 1,1,22102,0,0
FROG-S2,7,0,0,4,Female,Art / Music,1,1,jul.,2011,2,1,Player 2,1,10530,1,1
FROG-S2,7,0,1,6,Male,English,1,1,apr.,2011,2,1,Player 2,1,6625,1,1
FROG-S2,7,0,1,11,Male,English,1,2 or more,jun.,2011,1,0,Player 1,1,14813,0,0
FROG-S2,7,0,2,7,Male,French,1,0,feb.,2011,2,1,Player 2,1,22691,1,1
FROG-S2,7,0,2,10,Male,Math / Science,1,1,nov.,2011,1,0,Player 1,1,13235,0,0
FROG-S2,7,0,3,5,Female,English,1,1,feb.,2011,1,1,Player 2,2,11000,0,0
FROG-S2,7,0,3,8,Female,Art / Music,1,0,jan.,2011,2,0,Player 1,0,7188,0,1
FROG-S2,7,0,4,0,Male,Art / Music,1,1,apr.,2011,1,0,Player 1,1,33627,0,0
FROG-S2,7,0,4,9,Female,English,1,1,aug.,2011,2,1,Player 2,1,13496,1,1
FROG-S2,7,0,5,1,Female,English,1,1,dec.,2011,2,1,Player 2,1,8298,1,1
FROG-S2,7,0,5,3,Male,Math / Science,1,1,jun.,2011,1,0,Player 1,1,13770,0,0
FROG-S2,8,0,0,3,Male,Math / Science,1,1,jun.,2011,2,1,Player 2,0,9569,1,1
FROG-S2,8,0,0,7,Male,French,1,0,feb.,2011,2,0,Player 1,1,13788,1,1
FROG-S2,8,0,1,0,Male,Art / Music,1,1,apr.,2011,1,1,Player 2,2,25689,0,0
FROG-S2,8,0,1,1,Female,English,1,1,dec.,2011,2,0,Player 1,2,9236,0,1
FROG-S2,8,0,2,9,Female,English,1,1,aug.,2011,1,0,Player 1,2,43291,0,0
FROG-S2,8,0,2,11,Male,English,1,2 or more,jun.,2011,2,1,Player 2,0,6719,1,1
FROG-S2,8,0,3,6,Male,English,1,1,apr.,2011,1,0,Player 1,2,7922,0,0
FROG-S2,8,0,3,8,Female,Art / Music,1,0,jan.,2011,2,1,Player 2,0,6734,1,1
FROG-S2,8,0,4,2,Male,Art / Music,1,0,apr.,2011,2,1,Player 2,0,59116,1,1
FROG-S2,8,0,4,5,Female,English,1,1,feb.,2011,1,0,Player 1,0,9891,0,0
FROG-S2,8,0,5,4,Female,Art / Music,1,1,jul.,2011,1,0,Player 1,0,6798,0,0
FROG-S2,8,0,5,10,Male,Math / Science,1,1,nov.,2011,2,1,Player 2,0,53315,1,1
FROG-S2,9,0,0,6,Male,English,1,1,apr.,2011,2,1,Player 2,0,11532,1,1
FROG-S2,9,0,0,11,Male,English,1,2 or more,jun.,2011,1,0,Player 1,1,22986,0,0
FROG-S2,9,0,1,0,Male,Art / Music,1,1,apr.,2011,1,0,Player 1,2,18907,0,0
FROG-S2,9,0,1,5,Female,English,1,1,feb.,2011,1,1,Player 2,1,5985,0,0
FROG-S2,9,0,2,3,Male,Math / Science,1,1,jun.,2011,1,0,Player 1,2,15548,0,0
FROG-S2,9,0,2,7,Male,French,1,0,feb.,2011,2,1,Player 2,0,11917,1,1
FROG-S2,9,0,3,9,Female,English,1,1,aug.,2011,2,1,Player 2,0,31490,1,1
FROG-S2,9,0,3,10,Male,Math / Science,1,1,nov.,2011,1,0,Player 1,2,15438,0,0
FROG-S2,9,0,4,1,Female,English,1,1,dec.,2011,1,1,Player 2,2,12579,0,0
FROG-S2,9,0,4,8,Female,Art / Music,1,0,jan.,2011,2,0,Player 1,2,7875,0,1
FROG-S2,9,0,5,2,Male,Art / Music,1,0,apr.,2011,2,0,Player 1,2,13689,0,1
