"","Session","Order","Game","matchId","roundId","groupId","clientId","Gender","Grade","Siblings","role","decision","payoff","Age","Track3"
"149","D1S1","BOS-HD","BOS1",2,4,4,6,"M",6,NA,"green","red",2,140,"At risk"
"150","D1S1","BOS-HD","BOS1",2,5,4,6,"M",6,NA,"green","red",1,140,"At risk"
"151","D1S1","BOS-HD","BOS1",2,6,4,6,"M",6,NA,"green","green",1,140,"At risk"
"152","D1S1","BOS-HD","BOS1",2,7,4,6,"M",6,NA,"green","red",2,140,"At risk"
"153","D1S1","BOS-HD","BOS1",2,8,4,6,"M",6,NA,"green","green",4,140,"At risk"
"154","D1S1","BOS-HD","BOS1",2,9,4,6,"M",6,NA,"green","red",2,140,"At risk"
"155","D1S1","BOS-HD","BOS1",2,10,4,6,"M",6,NA,"green","red",2,140,"At risk"
"156","D1S1","BOS-HD","BOS1",2,11,4,6,"M",6,NA,"green","green",1,140,"At risk"
"157","D1S1","BOS-HD","BOS1",2,12,4,6,"M",6,NA,"green","green",1,140,"At risk"
"158","D1S1","BOS-HD","BOS1",2,13,4,6,"M",6,NA,"green","red",2,140,"At risk"
"159","D1S1","BOS-HD","BOS1",2,14,4,6,"M",6,NA,"green","red",1,140,"At risk"
"160","D1S1","BOS-HD","BOS1",2,15,4,6,"M",6,NA,"green","green",4,140,"At risk"
"161","D1S1","BOS-HD","BOS1",2,16,4,6,"M",6,NA,"green","green",1,140,"At risk"
"162","D1S1","BOS-HD","BOS1",2,17,4,6,"M",6,NA,"green","red",2,140,"At risk"
"163","D1S1","BOS-HD","BOS2",3,0,3,6,"M",6,NA,"red","red",6,140,"At risk"
"164","D1S1","BOS-HD","BOS2",3,1,3,6,"M",6,NA,"red","red",1,140,"At risk"
"165","D1S1","BOS-HD","BOS2",3,2,3,6,"M",6,NA,"red","green",2,140,"At risk"
"166","D1S1","BOS-HD","BOS2",3,3,3,6,"M",6,NA,"red","red",6,140,"At risk"
"167","D1S1","BOS-HD","BOS2",3,4,3,6,"M",6,NA,"red","red",1,140,"At risk"
"168","D1S1","BOS-HD","BOS2",3,5,3,6,"M",6,NA,"red","green",2,140,"At risk"
"169","D1S1","BOS-HD","BOS2",3,6,3,6,"M",6,NA,"red","green",2,140,"At risk"
"170","D1S1","BOS-HD","BOS2",3,7,3,6,"M",6,NA,"red","red",6,140,"At risk"
"171","D1S1","BOS-HD","BOS2",3,8,3,6,"M",6,NA,"red","green",1,140,"At risk"
"172","D1S1","BOS-HD","BOS2",3,9,3,6,"M",6,NA,"red","green",1,140,"At risk"
"173","D1S1","BOS-HD","BOS2",3,10,3,6,"M",6,NA,"red","red",6,140,"At risk"
"174","D1S1","BOS-HD","BOS2",3,11,3,6,"M",6,NA,"red","red",6,140,"At risk"
"175","D1S1","BOS-HD","BOS2",3,12,3,6,"M",6,NA,"red","red",1,140,"At risk"
"176","D1S1","BOS-HD","BOS2",3,13,3,6,"M",6,NA,"red","red",1,140,"At risk"
"177","D1S1","BOS-HD","BOS2",3,14,3,6,"M",6,NA,"red","red",1,140,"At risk"
"178","D1S1","BOS-HD","BOS2",3,15,3,6,"M",6,NA,"red","red",1,140,"At risk"
"179","D1S1","BOS-HD","BOS2",3,16,3,6,"M",6,NA,"red","green",1,140,"At risk"
"180","D1S1","BOS-HD","BOS2",3,17,3,6,"M",6,NA,"red","red",1,140,"At risk"
"181","D1S1","BOS-HD","BOS1",2,0,2,10,"X",7,NA,"green","green",1,159,"At risk"
"182","D1S1","BOS-HD","BOS1",2,1,2,10,"X",7,NA,"green","green",4,159,"At risk"
"183","D1S1","BOS-HD","BOS1",2,2,2,10,"X",7,NA,"green","red",2,159,"At risk"
"184","D1S1","BOS-HD","BOS1",2,3,2,10,"X",7,NA,"green","green",4,159,"At risk"
"185","D1S1","BOS-HD","BOS1",2,4,2,10,"X",7,NA,"green","red",2,159,"At risk"
"186","D1S1","BOS-HD","BOS1",2,5,2,10,"X",7,NA,"green","green",4,159,"At risk"
"187","D1S1","BOS-HD","BOS1",2,6,2,10,"X",7,NA,"green","red",2,159,"At risk"
"188","D1S1","BOS-HD","BOS1",2,7,2,10,"X",7,NA,"green","green",4,159,"At risk"
"189","D1S1","BOS-HD","BOS1",2,8,2,10,"X",7,NA,"green","red",2,159,"At risk"
"190","D1S1","BOS-HD","BOS1",2,9,2,10,"X",7,NA,"green","green",4,159,"At risk"
"191","D1S1","BOS-HD","BOS1",2,10,2,10,"X",7,NA,"green","red",2,159,"At risk"
"192","D1S1","BOS-HD","BOS1",2,11,2,10,"X",7,NA,"green","green",4,159,"At risk"
"193","D1S1","BOS-HD","BOS1",2,12,2,10,"X",7,NA,"green","red",2,159,"At risk"
"194","D1S1","BOS-HD","BOS1",2,13,2,10,"X",7,NA,"green","green",4,159,"At risk"
"195","D1S1","BOS-HD","BOS1",2,14,2,10,"X",7,NA,"green","red",2,159,"At risk"
"196","D1S1","BOS-HD","BOS1",2,15,2,10,"X",7,NA,"green","green",4,159,"At risk"
"197","D1S1","BOS-HD","BOS1",2,16,2,10,"X",7,NA,"green","red",2,159,"At risk"
"198","D1S1","BOS-HD","BOS1",2,17,2,10,"X",7,NA,"green","green",4,159,"At risk"
"199","D1S1","BOS-HD","BOS2",3,0,1,10,"X",7,NA,"red","green",2,159,"At risk"
"200","D1S1","BOS-HD","BOS2",3,1,1,10,"X",7,NA,"red","red",1,159,"At risk"
"201","D1S1","BOS-HD","BOS2",3,2,1,10,"X",7,NA,"red","red",1,159,"At risk"
"202","D1S1","BOS-HD","BOS2",3,3,1,10,"X",7,NA,"red","green",1,159,"At risk"
"203","D1S1","BOS-HD","BOS2",3,4,1,10,"X",7,NA,"red","green",2,159,"At risk"
"204","D1S1","BOS-HD","BOS2",3,5,1,10,"X",7,NA,"red","red",1,159,"At risk"
"205","D1S1","BOS-HD","BOS2",3,6,1,10,"X",7,NA,"red","red",1,159,"At risk"
"206","D1S1","BOS-HD","BOS2",3,7,1,10,"X",7,NA,"red","red",1,159,"At risk"
"207","D1S1","BOS-HD","BOS2",3,8,1,10,"X",7,NA,"red","red",1,159,"At risk"
"208","D1S1","BOS-HD","BOS2",3,9,1,10,"X",7,NA,"red","green",1,159,"At risk"
"209","D1S1","BOS-HD","BOS2",3,10,1,10,"X",7,NA,"red","green",2,159,"At risk"
"210","D1S1","BOS-HD","BOS2",3,11,1,10,"X",7,NA,"red","red",1,159,"At risk"
"211","D1S1","BOS-HD","BOS2",3,12,1,10,"X",7,NA,"red","red",1,159,"At risk"
"212","D1S1","BOS-HD","BOS2",3,13,1,10,"X",7,NA,"red","red",1,159,"At risk"
"213","D1S1","BOS-HD","BOS2",3,14,1,10,"X",7,NA,"red","red",1,159,"At risk"
"214","D1S1","BOS-HD","BOS2",3,15,1,10,"X",7,NA,"red","red",1,159,"At risk"
"215","D1S1","BOS-HD","BOS2",3,16,1,10,"X",7,NA,"red","green",1,159,"At risk"
"216","D1S1","BOS-HD","BOS2",3,17,1,10,"X",7,NA,"red","green",1,159,"At risk"
"217","D1S1","BOS-HD","BOS1",2,0,5,7,"M",6,NA,"green","red",2,140,"At risk"
"218","D1S1","BOS-HD","BOS1",2,1,5,7,"M",6,NA,"green","green",1,140,"At risk"
"219","D1S1","BOS-HD","BOS1",2,2,5,7,"M",6,NA,"green","red",2,140,"At risk"
"220","D1S1","BOS-HD","BOS1",2,3,5,7,"M",6,NA,"green","red",2,140,"At risk"
"221","D1S1","BOS-HD","BOS1",2,4,5,7,"M",6,NA,"green","green",1,140,"At risk"
"222","D1S1","BOS-HD","BOS1",2,5,5,7,"M",6,NA,"green","green",1,140,"At risk"
"223","D1S1","BOS-HD","BOS1",2,6,5,7,"M",6,NA,"green","green",1,140,"At risk"
"224","D1S1","BOS-HD","BOS1",2,7,5,7,"M",6,NA,"green","red",2,140,"At risk"
"225","D1S1","BOS-HD","BOS1",2,8,5,7,"M",6,NA,"green","red",2,140,"At risk"
"226","D1S1","BOS-HD","BOS1",2,9,5,7,"M",6,NA,"green","red",2,140,"At risk"
"227","D1S1","BOS-HD","BOS1",2,10,5,7,"M",6,NA,"green","red",2,140,"At risk"
"228","D1S1","BOS-HD","BOS1",2,11,5,7,"M",6,NA,"green","red",2,140,"At risk"
"229","D1S1","BOS-HD","BOS1",2,12,5,7,"M",6,NA,"green","red",2,140,"At risk"
"230","D1S1","BOS-HD","BOS1",2,13,5,7,"M",6,NA,"green","red",2,140,"At risk"
"231","D1S1","BOS-HD","BOS1",2,14,5,7,"M",6,NA,"green","red",2,140,"At risk"
"232","D1S1","BOS-HD","BOS1",2,15,5,7,"M",6,NA,"green","green",1,140,"At risk"
"233","D1S1","BOS-HD","BOS1",2,16,5,7,"M",6,NA,"green","green",1,140,"At risk"
"234","D1S1","BOS-HD","BOS1",2,17,5,7,"M",6,NA,"green","green",1,140,"At risk"
"235","D1S1","BOS-HD","BOS2",3,0,4,7,"M",6,NA,"red","red",1,140,"At risk"
"236","D1S1","BOS-HD","BOS2",3,1,4,7,"M",6,NA,"red","green",2,140,"At risk"
"237","D1S1","BOS-HD","BOS2",3,2,4,7,"M",6,NA,"red","red",6,140,"At risk"
"238","D1S1","BOS-HD","BOS2",3,3,4,7,"M",6,NA,"red","green",2,140,"At risk"
"239","D1S1","BOS-HD","BOS2",3,4,4,7,"M",6,NA,"red","red",6,140,"At risk"
"240","D1S1","BOS-HD","BOS2",3,5,4,7,"M",6,NA,"red","green",2,140,"At risk"
"241","D1S1","BOS-HD","BOS2",3,6,4,7,"M",6,NA,"red","red",6,140,"At risk"
"242","D1S1","BOS-HD","BOS2",3,7,4,7,"M",6,NA,"red","green",2,140,"At risk"
"243","D1S1","BOS-HD","BOS2",3,8,4,7,"M",6,NA,"red","red",6,140,"At risk"
"244","D1S1","BOS-HD","BOS2",3,9,4,7,"M",6,NA,"red","green",2,140,"At risk"
"245","D1S1","BOS-HD","BOS2",3,10,4,7,"M",6,NA,"red","red",6,140,"At risk"
"246","D1S1","BOS-HD","BOS2",3,11,4,7,"M",6,NA,"red","green",2,140,"At risk"
"247","D1S1","BOS-HD","BOS2",3,12,4,7,"M",6,NA,"red","red",6,140,"At risk"
"248","D1S1","BOS-HD","BOS2",3,13,4,7,"M",6,NA,"red","green",2,140,"At risk"
"249","D1S1","BOS-HD","BOS2",3,14,4,7,"M",6,NA,"red","red",6,140,"At risk"
"250","D1S1","BOS-HD","BOS2",3,15,4,7,"M",6,NA,"red","green",2,140,"At risk"
"251","D1S1","BOS-HD","BOS2",3,16,4,7,"M",6,NA,"red","red",6,140,"At risk"
"252","D1S1","BOS-HD","BOS2",3,17,4,7,"M",6,NA,"red","green",2,140,"At risk"
"253","D1S1","BOS-HD","BOS1",2,0,1,1,"F",6,NA,"red","red",6,136,"At risk"
"254","D1S1","BOS-HD","BOS1",2,1,1,1,"F",6,NA,"red","green",2,136,"At risk"
"255","D1S1","BOS-HD","BOS1",2,2,1,1,"F",6,NA,"red","red",6,136,"At risk"
"256","D1S1","BOS-HD","BOS1",2,3,1,1,"F",6,NA,"red","green",2,136,"At risk"
"257","D1S1","BOS-HD","BOS1",2,4,1,1,"F",6,NA,"red","red",6,136,"At risk"
"258","D1S1","BOS-HD","BOS1",2,5,1,1,"F",6,NA,"red","green",2,136,"At risk"
"259","D1S1","BOS-HD","BOS1",2,6,1,1,"F",6,NA,"red","green",1,136,"At risk"
"260","D1S1","BOS-HD","BOS1",2,7,1,1,"F",6,NA,"red","green",2,136,"At risk"
"261","D1S1","BOS-HD","BOS1",2,8,1,1,"F",6,NA,"red","red",6,136,"At risk"
"262","D1S1","BOS-HD","BOS1",2,9,1,1,"F",6,NA,"red","green",2,136,"At risk"
"263","D1S1","BOS-HD","BOS1",2,10,1,1,"F",6,NA,"red","red",6,136,"At risk"
"264","D1S1","BOS-HD","BOS1",2,11,1,1,"F",6,NA,"red","green",2,136,"At risk"
"265","D1S1","BOS-HD","BOS1",2,12,1,1,"F",6,NA,"red","green",1,136,"At risk"
"266","D1S1","BOS-HD","BOS1",2,13,1,1,"F",6,NA,"red","green",2,136,"At risk"
"267","D1S1","BOS-HD","BOS1",2,14,1,1,"F",6,NA,"red","red",1,136,"At risk"
"268","D1S1","BOS-HD","BOS1",2,15,1,1,"F",6,NA,"red","red",6,136,"At risk"
"269","D1S1","BOS-HD","BOS1",2,16,1,1,"F",6,NA,"red","green",2,136,"At risk"
"270","D1S1","BOS-HD","BOS1",2,17,1,1,"F",6,NA,"red","red",6,136,"At risk"
