Order,Location,Session,Game,matchId,roundId,groupId,clientId,Gender,Grade,Older siblings,Younger siblings,role,decision,decisionTime,payoff
SH-BOS,BUR,67-G1,SH2,6,18,3,3,M,6,0,1,blue,in,1188,3
SH-BOS,BUR,67-G1,SH2,6,19,3,3,M,6,0,1,blue,in,579,3
SH-BOS,BUR,67-G1,SH2,6,20,3,3,M,6,0,1,blue,in,813,3
SH-BOS,BUR,67-G1,SH2,6,21,3,3,M,6,0,1,blue,in,1187,3
SH-BOS,BUR,67-G1,SH2,6,22,3,3,M,6,0,1,blue,in,797,3
SH-BOS,BUR,67-G1,SH2,6,23,3,3,M,6,0,1,blue,in,797,3
SH-BOS,BUR,67-G1,BOS1,7,0,2,3,M,6,0,1,red,red,2829,5
SH-BOS,BUR,67-G1,BOS1,7,1,2,3,M,6,0,1,red,red,844,1
SH-BOS,BUR,67-G1,BOS1,7,2,2,3,M,6,0,1,red,green,1079,1
SH-BOS,BUR,67-G1,BOS1,7,3,2,3,M,6,0,1,red,green,3094,3
SH-BOS,BUR,67-G1,BOS1,7,4,2,3,M,6,0,1,red,red,1172,5
SH-BOS,BUR,67-G1,BOS1,7,5,2,3,M,6,0,1,red,green,656,3
SH-BOS,BUR,67-G1,BOS1,7,6,2,3,M,6,0,1,red,red,1985,5
SH-BOS,BUR,67-G1,BOS1,7,7,2,3,M,6,0,1,red,green,1016,3
SH-BOS,BUR,67-G1,BOS1,7,8,2,3,M,6,0,1,red,red,1172,5
SH-BOS,BUR,67-G1,BOS1,7,9,2,3,M,6,0,1,red,green,813,3
SH-BOS,BUR,67-G1,BOS1,7,10,2,3,M,6,0,1,red,red,1110,5
SH-BOS,BUR,67-G1,BOS1,7,11,2,3,M,6,0,1,red,green,1187,3
SH-BOS,BUR,67-G1,BOS1,7,12,2,3,M,6,0,1,red,red,1000,5
SH-BOS,BUR,67-G1,BOS1,7,13,2,3,M,6,0,1,red,green,1531,3
SH-BOS,BUR,67-G1,BOS1,7,14,2,3,M,6,0,1,red,red,922,5
SH-BOS,BUR,67-G1,BOS1,7,15,2,3,M,6,0,1,red,green,609,3
SH-BOS,BUR,67-G1,BOS1,7,16,2,3,M,6,0,1,red,red,734,5
SH-BOS,BUR,67-G1,BOS1,7,17,2,3,M,6,0,1,red,green,515,3
SH-BOS,BUR,67-G1,BOS1,7,18,2,3,M,6,0,1,red,red,765,5
SH-BOS,BUR,67-G1,BOS1,7,19,2,3,M,6,0,1,red,green,891,3
SH-BOS,BUR,67-G1,BOS1,7,20,2,3,M,6,0,1,red,red,954,5
SH-BOS,BUR,67-G1,BOS1,7,21,2,3,M,6,0,1,red,green,781,3
SH-BOS,BUR,67-G1,BOS1,7,22,2,3,M,6,0,1,red,red,844,5
SH-BOS,BUR,67-G1,BOS1,7,23,2,3,M,6,0,1,red,green,750,3
SH-BOS,BUR,67-G1,BOS2,8,0,5,3,M,6,0,1,red,red,1782,5
SH-BOS,BUR,67-G1,BOS2,8,1,5,3,M,6,0,1,red,green,735,3
SH-BOS,BUR,67-G1,BOS2,8,2,5,3,M,6,0,1,red,red,640,5
SH-BOS,BUR,67-G1,BOS2,8,3,5,3,M,6,0,1,red,green,891,3
SH-BOS,BUR,67-G1,BOS2,8,4,5,3,M,6,0,1,red,red,593,5
SH-BOS,BUR,67-G1,BOS2,8,5,5,3,M,6,0,1,red,green,719,3
SH-BOS,BUR,67-G1,BOS2,8,6,5,3,M,6,0,1,red,red,703,5
SH-BOS,BUR,67-G1,BOS2,8,7,5,3,M,6,0,1,red,green,609,3
SH-BOS,BUR,67-G1,BOS2,8,8,5,3,M,6,0,1,red,red,657,5
SH-BOS,BUR,67-G1,BOS2,8,9,5,3,M,6,0,1,red,green,687,3
SH-BOS,BUR,67-G1,BOS2,8,10,5,3,M,6,0,1,red,red,875,5
SH-BOS,BUR,67-G1,BOS2,8,11,5,3,M,6,0,1,red,green,562,3
SH-BOS,BUR,67-G1,BOS2,8,12,5,3,M,6,0,1,red,red,563,5
SH-BOS,BUR,67-G1,BOS2,8,13,5,3,M,6,0,1,red,green,719,3
SH-BOS,BUR,67-G1,BOS2,8,14,5,3,M,6,0,1,red,red,703,5
SH-BOS,BUR,67-G1,BOS2,8,15,5,3,M,6,0,1,red,green,547,3
SH-BOS,BUR,67-G1,BOS2,8,16,5,3,M,6,0,1,red,red,609,5
SH-BOS,BUR,67-G1,BOS2,8,17,5,3,M,6,0,1,red,green,547,3
SH-BOS,BUR,67-G1,BOS2,8,18,5,3,M,6,0,1,red,red,1031,5
SH-BOS,BUR,67-G1,BOS2,8,19,5,3,M,6,0,1,red,green,1407,3
SH-BOS,BUR,67-G1,BOS2,8,20,5,3,M,6,0,1,red,red,1141,5
SH-BOS,BUR,67-G1,BOS2,8,21,5,3,M,6,0,1,red,green,907,3
SH-BOS,BUR,67-G1,BOS2,8,22,5,3,M,6,0,1,red,red,625,5
